1232021-11-02 05:02:27,443 gpu device = 0
2021-11-02 05:52:35,416 valid_acc 87.160000
2021-11-02 05:52:35,418 epoch 11 lr 2.426101e-02
2021-11-02 05:52:35,893 train 000 8.396727e-01 81.250000 96.875000
2021-11-02 05:52:51,791 train 050 6.876232e-01 83.026961 99.142157
2021-11-02 05:53:07,861 train 100 7.061310e-01 83.106436 99.241955
2021-11-02 05:53:23,646 train 150 7.098368e-01 82.853891 99.223924
2021-11-02 05:53:39,479 train 200 7.118333e-01 82.781405 99.253731
2021-11-02 05:53:55,490 train 250 7.105946e-01 82.887201 99.252988
2021-11-02 05:54:11,362 train 300 7.106680e-01 82.905939 99.210963
2021-11-02 05:54:27,350 train 350 7.110571e-01 82.776887 99.238782
2021-11-02 05:54:43,270 train 400 7.157215e-01 82.738466 99.216802
2021-11-02 05:54:59,223 train 450 7.147388e-01 82.725887 99.230876
2021-11-02 05:55:15,124 train 500 7.157987e-01 82.718937 99.239022
2021-11-02 05:55:31,066 train 550 7.153809e-01 82.778471 99.231511
2021-11-02 05:55:46,987 train 600 7.163823e-01 82.729305 99.204451
2021-11-02 05:56:02,827 train 650 7.159253e-01 82.778898 99.198349
2021-11-02 05:56:18,781 train 700 7.167205e-01 82.747860 99.175285
2021-11-02 05:56:34,704 train 750 7.162812e-01 82.741761 99.174018
2021-11-02 05:56:44,553 train_acc 82.808000
2021-11-02 05:56:44,753 valid 000 7.175875e-02 100.000000 100.000000
2021-11-02 05:56:47,109 valid 050 3.714504e-01 86.928104 99.533147
2021-11-02 05:56:49,614 valid 100 3.926586e-01 86.138613 99.434229
2021-11-02 05:56:52,035 valid 150 3.979618e-01 85.871964 99.400820
2021-11-02 05:56:54,579 valid 200 3.972897e-01 86.164416 99.360341
2021-11-02 05:56:57,040 valid 250 3.983525e-01 86.226522 99.373933
2021-11-02 05:56:59,293 valid 300 3.965594e-01 86.283815 99.430470
2021-11-02 05:57:01,766 valid 350 3.914793e-01 86.365486 99.443766
2021-11-02 05:57:04,149 valid 400 3.916083e-01 86.319914 99.477497
2021-11-02 05:57:06,725 valid 450 3.938448e-01 86.432266 99.514307
2021-11-02 05:57:08,145 valid_acc 86.519999
2021-11-02 05:57:08,146 epoch 12 lr 2.412221e-02
2021-11-02 05:57:08,585 train 000 7.693491e-01 84.375000 96.875000
2021-11-02 05:57:24,566 train 050 6.800198e-01 83.425245 99.448529
2021-11-02 05:57:40,522 train 100 6.916181e-01 83.477723 99.334777
2021-11-02 05:57:56,526 train 150 6.811146e-01 83.661010 99.296358
2021-11-02 05:58:12,347 train 200 6.853524e-01 83.597637 99.269279
2021-11-02 05:58:28,255 train 250 6.857076e-01 83.559512 99.259213
2021-11-02 05:58:44,252 train 300 6.863542e-01 83.554817 99.221346
2021-11-02 05:59:00,214 train 350 6.851557e-01 83.493590 99.189815
2021-11-02 05:59:16,146 train 400 6.899354e-01 83.377494 99.173940
2021-11-02 05:59:31,922 train 450 6.955256e-01 83.172810 99.171979
2021-11-02 05:59:47,901 train 500 6.943609e-01 83.180514 99.195359
2021-11-02 06:00:03,911 train 550 6.935845e-01 83.152790 99.214496
2021-11-02 06:00:19,839 train 600 6.967720e-01 83.059484 99.191452
2021-11-02 06:00:35,765 train 650 6.942449e-01 83.047715 99.200749
2021-11-02 06:00:51,863 train 700 6.925220e-01 83.106723 99.213178
2021-11-02 06:01:07,826 train 750 6.941610e-01 83.112101 99.207307
2021-11-02 06:01:17,678 train_acc 83.116000
2021-11-02 06:01:17,879 valid 000 1.372618e-01 95.238098 100.000000
